plot_id,species,variety
241,Sugar Beet,BTS 440_Herbicide: 0%
240,Sugar Beet,BTS 440_Herbicide: 0%
239,Sugar Beet,BTS 440_Herbicide: 0%
238,Sugar Beet,BTS 440_Herbicide: 0%
237,Summerwheat,Granus_450
236,Summerwheat,Granus_350
235,Summerwheat,Granus_250
234,Summerwheat,Granus_150
233,Sugar Corn,PopcornRobust
232,Sugar Corn,Mirza
231,Sugar Corn,Caramelo
230,Sugar Corn,Khan
229,Soybean,Eiko
228,Soybean,Minngold
227,Potato,Belana
226,Potato,Belana
225,Potato,Gala
224,Potato,Gala
223,Mixture (faba-wheat),Anabel&Fanfare_Mix_B_2
222,Mixture (faba),Fanfare_FB_B
221,Sugar Beet,BTS 440_Herbicide: 50%
220,Sugar Beet,BTS 440_Herbicide: 50%
219,Sugar Beet,BTS 440_Herbicide: 50%
218,Sugar Beet,BTS 440_Herbicide: 50%
217,Summerwheat,Granus_250
216,Summerwheat,Granus_150
215,Summerwheat,Granus_450
214,Summerwheat,Granus_350
213,Sugar Corn,Mirza
212,Sugar Corn,Caramelo
211,Sugar Corn,Khan
210,Sugar Corn,PopcornRobust
209,Soybean,Minngold
208,Soybean,Eiko
207,Potato,Belana
206,Potato,Belana
205,Potato,Gala
204,Potato,Gala
203,Mixture (faba-wheat),Sorbas&Fanfare_Mix_B_10
202,Mixture (wheat),Anabel_SW_2
201,Sugar Beet,BTS 440_Herbicide: 75%
200,Sugar Beet,BTS 440_Herbicide: 75%
199,Sugar Beet,BTS 440_Herbicide: 75%
198,Sugar Beet,BTS 440_Herbicide: 75%
197,Summerwheat,Granus_350
196,Summerwheat,Granus_450
195,Summerwheat,Granus_150
194,Summerwheat,Granus_250
193,Sugar Corn,Caramelo
192,Sugar Corn,Khan
191,Sugar Corn,PopcornRobust
190,Sugar Corn,Mirza
189,Soybean,Eiko
188,Soybean,Minngold
187,Potato,Belana
186,Potato,Belana
185,Potato,Gala
184,Potato,Gala
183,Mixture (faba-wheat),Anabel&Fanfare_Mix_B_2
182,Mixture (faba),Fanfare_FB_B
181,Sugar Beet,BTS 440_Herbicide 100%
180,Sugar Beet,BTS 440_Herbicide 100%
179,Sugar Beet,BTS 440_Herbicide 100%
178,Sugar Beet,BTS 440_Herbicide 100%
177,Summerwheat,Granus_150
176,Summerwheat,Granus_250
175,Summerwheat,Granus_350
174,Summerwheat,Granus_450
173,Sugar Corn,Khan
172,Sugar Corn,PopcornRobust
171,Sugar Corn,Mirza
170,Sugar Corn,Caramelo
169,Soybean,Minngold
168,Soybean,Eiko
167,Potato,Belana
166,Potato,Belana
165,Potato,Gala
164,Potato,Gala
163,Mixture (faba-wheat),Sorbas&Fanfare_Mix_B_10
162,Mixture (wheat),Sorbas_SW_10
