class,precision,recall,f1_score,support
Intercrop_Anabel,0.3333,0.3333,0.3333,3
Intercrop_Anabel_Fanfare,0.8333,0.8333,0.8333,6
Intercrop_Fanfare,0.6667,1.0,0.8,6
Intercrop_Sorbas,0.6667,0.6667,0.6667,3
Intercrop_Sorbas_Fanfare,0.5,0.1667,0.25,6
Maize_Caramelo,0.1538,0.1538,0.1538,13
Maize_Khan,0.2963,0.6154,0.4,13
Maize_Mirza,0.5455,0.4615,0.5,13
Maize_Popcorn_Robust,0.0,0.0,0.0,13
Potato_Belana,0.7778,0.8077,0.7925,26
Potato_Gala,0.7692,0.7692,0.7692,26
Soybean_Eiko,1.0,1.0,1.0,13
Soybean_Minngold,1.0,1.0,1.0,13
SugarBeet_BTS440_H0,0.6,1.0,0.75,3
SugarBeet_BTS440_H100,1.0,1.0,1.0,3
SugarBeet_BTS440_H50,1.0,1.0,1.0,3
SugarBeet_BTS440_H75,1.0,0.6667,0.8,3
Wheat_Granus_150,0.625,0.7692,0.6897,13
Wheat_Granus_250,0.5455,0.4615,0.5,13
Wheat_Granus_350,0.75,0.4615,0.5714,13
Wheat_Granus_450,0.75,0.9231,0.8276,13
