class,precision,recall,f1_score,support
Intercrop_Anabel,1.0,0.3333,0.5,3
Intercrop_Anabel_Fanfare,0.5,0.6667,0.5714,6
Intercrop_Fanfare,0.5,0.1667,0.25,6
Intercrop_Sorbas,0.25,0.3333,0.2857,3
Intercrop_Sorbas_Fanfare,0.4286,0.5,0.4615,6
Maize_Caramelo,0.3333,0.1538,0.2105,13
Maize_Khan,0.3333,0.6154,0.4324,13
Maize_Mirza,0.625,0.3846,0.4762,13
Maize_Popcorn_Robust,0.4,0.4615,0.4286,13
Potato_Belana,0.68,0.6538,0.6667,26
Potato_Gala,0.6538,0.6538,0.6538,26
Soybean_Eiko,0.9091,0.7692,0.8333,13
Soybean_Minngold,0.8571,0.9231,0.8889,13
SugarBeet_BTS440_H0,1.0,1.0,1.0,3
SugarBeet_BTS440_H100,1.0,1.0,1.0,3
SugarBeet_BTS440_H50,0.75,1.0,0.8571,3
SugarBeet_BTS440_H75,1.0,0.6667,0.8,3
Wheat_Granus_150,0.6,0.6923,0.6429,13
Wheat_Granus_250,0.3571,0.3846,0.3704,13
Wheat_Granus_350,0.5385,0.5385,0.5385,13
Wheat_Granus_450,0.6154,0.6154,0.6154,13
