true / predicted,Intercrop_Anabel,Intercrop_Anabel_Fanfare,Intercrop_Fanfare,Intercrop_Sorbas,Intercrop_Sorbas_Fanfare,Maize_Caramelo,Maize_Khan,Maize_Mirza,Maize_Popcorn_Robust,Potato_Belana,Potato_Gala,Soybean_Eiko,Soybean_Minngold,SugarBeet_BTS440_H0,SugarBeet_BTS440_H100,SugarBeet_BTS440_H50,SugarBeet_BTS440_H75,Wheat_Granus_150,Wheat_Granus_250,Wheat_Granus_350,Wheat_Granus_450
Intercrop_Anabel,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
Intercrop_Anabel_Fanfare,0,16,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Intercrop_Fanfare,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intercrop_Sorbas,0,0,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0
Intercrop_Sorbas_Fanfare,0,1,1,1,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Maize_Caramelo,0,0,0,0,0,20,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0
Maize_Khan,0,0,0,0,0,2,23,4,8,1,0,0,0,0,0,0,0,0,0,0,0
Maize_Mirza,0,0,0,0,0,8,1,16,13,0,0,0,0,0,0,0,0,0,0,0,0
Maize_Popcorn_Robust,0,0,0,0,0,1,4,8,25,0,0,0,0,0,0,0,0,0,0,0,0
Potato_Belana,0,0,0,0,0,0,0,0,0,64,13,0,0,0,0,0,0,0,0,0,0
Potato_Gala,0,0,0,0,0,0,0,0,0,21,56,0,0,0,0,0,0,0,0,0,0
Soybean_Eiko,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0
Soybean_Minngold,0,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0,0,0,0,0
SugarBeet_BTS440_H0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0
SugarBeet_BTS440_H100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0,0,0,0,0
SugarBeet_BTS440_H50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
SugarBeet_BTS440_H75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Wheat_Granus_150,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29,6,0,0
Wheat_Granus_250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,6,1
Wheat_Granus_350,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,7,18,4
Wheat_Granus_450,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,26
