epoch,tr_loss,va_loss,tr_acc,va_acc,val_f1
1,2.5476,2.111,0.1754,0.2404,0.1273
2,1.8572,1.7099,0.3156,0.3308,0.2484
3,1.6757,1.599,0.3374,0.3675,0.244
4,1.5177,2.56,0.4159,0.2557,0.1804
5,1.4331,1.4406,0.4424,0.4273,0.3207
6,1.3841,1.3199,0.4741,0.5314,0.4842
7,1.3146,1.3587,0.5182,0.5299,0.4862
8,1.2666,1.2815,0.545,0.5513,0.5099
9,1.2166,1.2573,0.5737,0.562,0.505
10,1.1985,1.2263,0.5917,0.5942,0.5639
11,1.1763,1.2109,0.5925,0.5727,0.548
12,1.1626,1.0919,0.6105,0.6355,0.6001
13,1.14,1.0949,0.6239,0.6386,0.6169
14,1.1115,1.1713,0.643,0.6401,0.6146
15,1.0808,1.0811,0.6572,0.6309,0.6075
16,1.0633,1.0269,0.6718,0.6769,0.6666
17,1.0238,1.0292,0.6863,0.683,0.6688
18,1.0118,0.9634,0.6993,0.6953,0.6807
19,0.9946,0.9607,0.7062,0.7121,0.7025
20,0.9923,1.0293,0.6913,0.6708,0.6408
21,0.9465,0.9369,0.7296,0.7152,0.7049
22,0.9507,0.943,0.7147,0.7305,0.7098
23,0.9278,0.9144,0.738,0.7427,0.7368
24,0.9126,0.9001,0.7461,0.7305,0.7234
25,0.909,0.9513,0.7403,0.6937,0.6774
26,0.8852,0.9348,0.753,0.7458,0.7429
27,0.8857,0.902,0.7614,0.7228,0.7118
28,0.8725,0.9341,0.7614,0.7274,0.7198
29,0.8474,0.8689,0.7759,0.7443,0.7381
30,0.822,0.8924,0.784,0.7443,0.7374
31,0.8368,0.8477,0.7805,0.7534,0.7513
32,0.8149,0.8526,0.7955,0.7703,0.7667
33,0.7993,0.834,0.7997,0.7795,0.7753
34,0.7895,0.8287,0.8058,0.7718,0.7686
35,0.7921,0.7963,0.8054,0.7871,0.7835
36,0.7616,0.7859,0.8165,0.7902,0.7871
37,0.7538,0.7829,0.8238,0.8009,0.7986
38,0.7501,0.7778,0.8223,0.7994,0.7955
39,0.7499,0.7777,0.8196,0.8025,0.7985
40,0.7458,0.7939,0.8246,0.7887,0.7855
41,0.7233,0.7707,0.8399,0.7994,0.794
42,0.721,0.7685,0.8342,0.8116,0.8071
43,0.7044,0.7486,0.8434,0.8116,0.8102
44,0.7032,0.7611,0.8464,0.8101,0.8077
45,0.6993,0.7312,0.8522,0.8224,0.8205
46,0.695,0.7467,0.8533,0.8147,0.8117
47,0.6943,0.7408,0.8533,0.8285,0.8274
48,0.6791,0.7203,0.8594,0.8331,0.8308
49,0.6688,0.7264,0.8667,0.8254,0.8238
50,0.6725,0.7142,0.8625,0.8315,0.8302
51,0.6772,0.7199,0.8625,0.8315,0.8292
52,0.6618,0.7217,0.8732,0.8208,0.8176
53,0.6522,0.7188,0.869,0.8285,0.8258
54,0.6506,0.7245,0.874,0.8285,0.8261
55,0.6439,0.7042,0.8778,0.8392,0.837
56,0.6387,0.7259,0.8832,0.8224,0.8202
57,0.6621,0.7243,0.8686,0.8285,0.827
58,0.6412,0.7138,0.8878,0.8285,0.8265
59,0.6424,0.7142,0.8774,0.83,0.8279
60,0.642,0.7056,0.8725,0.8331,0.831
