true / predicted,Mixture (faba)_Fanfare_FB_B,Mixture (faba-wheat)_Anabel&Fanfare_Mix_B_2,Mixture (faba-wheat)_Sorbas&Fanfare_Mix_B_10,Mixture (wheat)_Anabel_SW_2,Mixture (wheat)_Sorbas_SW_10,Potato_Belana,Potato_Gala,Soybean_Eiko,Soybean_Minngold,Sugar Beet_BTS 440_Herbicide 100%,Sugar Beet_BTS 440_Herbicide: 0%,Sugar Beet_BTS 440_Herbicide: 50%,Sugar Beet_BTS 440_Herbicide: 75%,Sugar Corn_Caramelo,Sugar Corn_Khan,Sugar Corn_Mirza,Sugar Corn_PopcornRobust,Summerwheat_Granus_150,Summerwheat_Granus_250,Summerwheat_Granus_350,Summerwheat_Granus_450
Mixture (faba)_Fanfare_FB_B,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mixture (faba-wheat)_Anabel&Fanfare_Mix_B_2,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixture (faba-wheat)_Sorbas&Fanfare_Mix_B_10,0,2,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixture (wheat)_Anabel_SW_2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixture (wheat)_Sorbas_SW_10,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potato_Belana,0,0,0,0,0,70,1,1,0,0,1,1,0,0,1,0,0,0,0,0,2
Potato_Gala,0,0,0,0,0,1,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Soybean_Eiko,0,0,0,0,0,0,0,36,1,0,0,1,0,0,0,0,0,0,0,0,0
Soybean_Minngold,0,0,0,0,0,1,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0
Sugar Beet_BTS 440_Herbicide 100%,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,1,0
Sugar Beet_BTS 440_Herbicide: 0%,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,0
Sugar Beet_BTS 440_Herbicide: 50%,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1
Sugar Beet_BTS 440_Herbicide: 75%,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0
Sugar Corn_Caramelo,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,4,4,0,0,0,0
Sugar Corn_Khan,0,0,0,0,0,0,0,0,0,1,0,0,0,4,25,5,4,0,0,0,0
Sugar Corn_Mirza,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,29,2,0,0,0,0
Sugar Corn_PopcornRobust,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,1,29,0,0,0,0
Summerwheat_Granus_150,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,4,0,1
Summerwheat_Granus_250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,4,1
Summerwheat_Granus_350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,26,5
Summerwheat_Granus_450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,27
